scenario,family,sigma_d,N_papers,delta_min_power_0.8,delta_min_power_0.9
structural_distance: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical structural_distance,0.05962533843397867,200,0.011811898232775401,0.013666709672086445
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical judge_average,0.5204164998665327,4,0.7289955866440837,0.843469088418997
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical judge_average,0.5204164998665327,10,0.4610572916011856,0.5334566910699964
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical judge_average,0.5204164998665327,25,0.29159823465763346,0.3373876353675988
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical judge_average,0.5204164998665327,50,0.20619108910843878,0.23856908485692338
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical judge_average,0.5204164998665327,100,0.14579911732881673,0.1686938176837994
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical judge_average,0.5204164998665327,200,0.10309554455421939,0.11928454242846169
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),empirical judge_average,1.0875984416917719,4,1.5234998587431834,1.7627336304958583
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),empirical judge_average,1.0875984416917719,10,0.96354591371465,1.114850636108911
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),empirical judge_average,1.0875984416917719,25,0.6093999434972733,0.7050934521983433
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),empirical judge_average,1.0875984416917719,50,0.4309108325016209,0.4985763614196813
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),empirical judge_average,1.0875984416917719,100,0.30469997174863667,0.35254672609917165
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),empirical judge_average,1.0875984416917719,200,0.21545541625081044,0.24928818070984066
