label,metric,sigma_d,n_observed,mean_diff,note
structural_distance: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),structural_distance,0.047812326544622585,4,-0.08158633008944452,empirical weak calibration from existing local artifacts
judge_average: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),judge_average,1.8345955251064852,4,0.16666666666666652,empirical weak calibration from existing local artifacts
structural_distance: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),structural_distance,0.05962533843397867,3,-0.016430302859668833,empirical weak calibration from existing local artifacts
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),judge_average,0.5204164998665327,3,-0.2500000000000003,empirical weak calibration from existing local artifacts
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),judge_average,1.0875984416917719,3,0.388888888888889,empirical weak calibration from existing local artifacts
